Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
12/1/1959,1.975833333,0.315833333,-3.054166667,1.605833333,7.255833333,0.635833333,1.835833333,-2.004166667,3.045833333,0.705833333,0.685833333,2.145833333,3.075833333,5.495833333,5.245833333,-4.914166667,4.365833333,2.035833333,3.895833333,1.755833333,3.935833333,-1.994166667,0.635833333,1.425833333,1.995833333,-0.334166667,2.375833333,2.675833333,0.115833333,-6.534166667
1/1/1960,-4.5225,-5.7425,-2.0825,1.1775,-5.5025,-7.8725,-8.5625,-6.7125,-10.0625,-4.8025,-6.7025,-9.4125,-4.4525,-12.3325,-11.7425,-5.0625,-3.8425,-7.9425,-7.8525,-2.4325,0.5875,-6.2125,-7.9625,-9.4425,-4.3425,-5.3625,-6.1225,-10.1125,-4.7125,-4.0125
2/1/1960,3.31,-2.18,2.23,4.19,2.35,9.27,1.4,-0.06,-0.78,0.28,3.03,-2.07,-2.17,5.07,-2.19,2.01,1.53,-3.01,-3.78,2.44,8.03,9.09,5.05,2.96,-0.98,1.38,3.96,1.77,-1.02,6.28
3/1/1960,-1.595833333,-2.865833333,-0.105833333,-0.575833333,2.254166667,-0.485833333,-2.515833333,1.334166667,-2.675833333,-6.715833333,-0.705833333,-5.505833333,-3.505833333,-0.815833333,-6.565833333,-8.115833333,-2.915833333,-5.395833333,-0.995833333,1.494166667,-0.135833333,-0.235833333,3.414166667,-2.355833333,-4.915833333,-1.295833333,-0.055833333,-3.805833333,0.124166667,-2.355833333
4/1/1960,1.090833333,-2.239166667,1.270833333,6.380833333,-1.249166667,-1.349166667,0.130833333,1.410833333,-5.609166667,-1.179166667,-1.529166667,-5.609166667,-4.179166667,-1.189166667,-2.389166667,-1.439166667,-0.889166667,-3.049166667,-4.559166667,1.100833333,-1.319166667,7.060833333,1.690833333,0.330833333,-2.209166667,0.370833333,-0.609166667,8.780833333,-0.719166667,0.470833333
5/1/1960,8.195833333,-0.524166667,2.435833333,7.275833333,11.66583333,7.735833333,1.735833333,13.49583333,3.395833333,2.095833333,3.175833333,2.345833333,0.915833333,6.475833333,0.265833333,9.265833333,-1.394166667,2.405833333,-3.854166667,1.245833333,3.045833333,-1.754166667,11.89583333,2.845833333,0.895833333,1.645833333,3.105833333,0.795833333,-0.454166667,1.015833333
6/1/1960,5.425,0.505,4.765,2.275,0.055,6.415,-1.555,-0.365,0.485,4.075,2.575,1.355,1.665,-0.165,-0.255,0.395,-1.375,-1.305,3.415,5.585,-0.545,-8.035,2.425,3.535,2.205,5.995,3.445,1.065,3.755,6.445
7/1/1960,-2.171666667,-0.851666667,4.538333333,-4.781666667,0.168333333,-0.661666667,-1.161666667,-4.051666667,-6.861666667,-3.201666667,-5.231666667,-2.441666667,-3.951666667,-7.021666667,-1.381666667,1.688333333,2.358333333,1.978333333,0.478333333,-1.421666667,-0.091666667,2.778333333,-2.081666667,-4.161666667,-3.171666667,-6.221666667,-3.051666667,-1.311666667,0.028333333,-6.011666667
8/1/1960,4.548333333,3.218333333,5.178333333,7.138333333,3.608333333,5.068333333,3.318333333,2.268333333,1.148333333,-0.861666667,0.548333333,0.608333333,0.778333333,-1.061666667,2.868333333,6.908333333,6.918333333,3.448333333,3.918333333,4.268333333,6.918333333,5.668333333,2.688333333,1.158333333,1.958333333,4.488333333,2.828333333,2.028333333,3.448333333,3.458333333
9/1/1960,-3.926666667,-5.046666667,-2.136666667,-2.376666667,-6.246666667,-9.226666667,-4.276666667,-8.916666667,-6.746666667,-5.296666667,-5.076666667,-8.286666667,-5.736666667,-10.50666667,-5.946666667,-8.776666667,-2.256666667,-5.236666667,-1.126666667,-4.756666667,-6.116666667,-3.576666667,-7.656666667,-7.416666667,-7.116666667,-8.486666667,-8.616666667,-1.946666667,-5.826666667,-4.256666667
10/1/1960,1.048333333,0.568333333,3.898333333,0.138333333,2.408333333,6.508333333,-3.471666667,-3.681666667,-1.561666667,-3.031666667,-1.381666667,-2.321666667,-1.391666667,-3.551666667,-1.211666667,1.068333333,3.218333333,-1.601666667,2.308333333,-0.511666667,-0.051666667,4.648333333,-3.371666667,-1.821666667,-0.991666667,-4.191666667,0.338333333,-4.511666667,-0.371666667,0.408333333
11/1/1960,9.3925,6.5025,5.3725,13.8425,10.0425,9.0625,3.0825,3.8425,4.1825,1.9725,6.5525,1.2025,8.2125,5.1525,-0.4775,7.4825,7.3525,6.5725,3.1425,3.5925,3.9925,9.4225,8.1225,5.2425,5.2825,9.6525,6.4325,4.3325,7.6425,3.9425
12/1/1960,4.4825,-0.3375,3.5125,7.7425,7.3825,1.7325,3.2525,6.0325,2.8225,0.4925,4.2425,4.7625,4.7625,0.9925,-0.3975,2.3925,5.9125,1.5525,5.1825,6.2325,12.2625,8.1525,4.2625,5.5425,2.2425,2.0325,2.0225,2.0525,5.5325,3.7725
1/1/1961,4.703333333,5.233333333,8.773333333,0.563333333,9.473333333,4.363333333,5.943333333,5.863333333,6.463333333,11.21333333,5.663333333,8.303333333,5.953333333,-0.586666667,8.503333333,6.423333333,5.953333333,10.86333333,9.543333333,4.673333333,7.703333333,4.293333333,5.083333333,4.563333333,8.353333333,7.933333333,2.283333333,4.083333333,7.123333333,8.233333333
2/1/1961,4.148333333,8.098333333,5.348333333,22.26833333,2.088333333,5.838333333,7.778333333,4.988333333,2.068333333,6.748333333,4.728333333,5.678333333,8.968333333,-0.351666667,4.158333333,5.928333333,-1.781666667,9.178333333,0.358333333,3.478333333,0.548333333,0.138333333,4.478333333,6.768333333,4.158333333,3.248333333,4.758333333,8.168333333,6.938333333,5.938333333
3/1/1961,4.640833333,2.550833333,5.600833333,7.180833333,4.770833333,6.340833333,3.080833333,3.600833333,0.920833333,5.920833333,2.500833333,1.840833333,1.520833333,2.980833333,3.140833333,1.400833333,2.430833333,-0.759166667,1.270833333,1.550833333,7.230833333,-0.199166667,2.310833333,-0.689166667,0.860833333,4.450833333,5.760833333,4.060833333,4.340833333,7.080833333
4/1/1961,-1.410833333,1.379166667,-0.250833333,-2.230833333,-6.390833333,2.639166667,2.579166667,-0.490833333,-1.490833333,-5.330833333,-3.530833333,-1.630833333,-2.340833333,-2.550833333,-1.860833333,1.959166667,0.949166667,0.489166667,4.649166667,1.679166667,0.609166667,-0.140833333,2.169166667,-0.390833333,-1.640833333,3.059166667,0.199166667,4.209166667,1.359166667,-3.690833333
5/1/1961,4.189166667,5.369166667,3.379166667,-3.920833333,2.699166667,-0.030833333,6.789166667,2.089166667,5.489166667,5.459166667,2.099166667,5.879166667,4.629166667,4.449166667,3.339166667,2.059166667,8.449166667,7.629166667,-0.190833333,2.309166667,-1.230833333,-0.710833333,1.559166667,1.379166667,4.729166667,-0.050833333,4.299166667,-1.910833333,3.989166667,3.309166667
6/1/1961,-2.164166667,-3.114166667,3.975833333,-5.864166667,-3.844166667,3.435833333,-5.494166667,-3.574166667,-1.314166667,-3.354166667,-2.944166667,-7.644166667,-3.134166667,-3.914166667,-1.304166667,-3.374166667,-5.954166667,-4.404166667,-4.214166667,-2.014166667,-4.184166667,0.135833333,-3.304166667,-4.454166667,-4.564166667,-4.894166667,0.805833333,-5.624166667,-2.874166667,0.375833333
